asn,ixp,ixp_cc,fac,fac_cc
214963,Pigeon IX,US,Hetzner Online FSN1 (Falkenstein),DE
214963,LOCIX FRANKFURT,DE,NTT Frankfurt 1 Data Center (FRA1),DE
214963,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA29-32,DE
214963,LOCIX FRANKFURT,DE,iNTERWERK Rechenzentrum,DE
214963,LOCIX FRANKFURT,DE,maincubes AMS01,NL
214963,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA1-27,DE
214963,LOCIX FRANKFURT,DE,firstcolo - FRA4,DE
214963,LOCIX FRANKFURT,DE,WIIT Datacenter DUS5,DE
214963,LOCIX FRANKFURT,DE,"Equinix FR5 - Frankfurt, KleyerStrasse",DE
214963,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA28,DE
214963,LOCIX FRANKFURT,DE,MK Netzdienste Datacenter,DE
214963,LOCIX FRANKFURT,DE,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
214963,LOCIX FRANKFURT,DE,Iron Mountain Data Center - Amsterdam (AMS-1),NL
214963,LOCIX FRANKFURT,DE,firstcolo - FRA1,DE
216299,ZXIX Hong Kong,HK,,
216299,CXIX - Great Lakes,US,Equinix MT1 - Montreal,CA
216299,CXIX - Great Lakes,US,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
216299,ONIX,CA,Equinix TR1 - Toronto,CA
216299,ONIX,CA,Telehouse Toronto (151 Front St West),CA
216299,ONIX,CA,Equinix TR2 - Toronto,CA
216299,DataSphere Internet Exchange (Hong Kong),HK,iTech Towers 2,HK
216299,Pigeon IX,US,Hetzner Online HEL1 (Helsinki),FI
216299,Pigeon IX,US,1530 SWIFT - NOCIX,US
216299,Pigeon IX,US,Hetzner Online FSN1 (Falkenstein),DE
216299,STUIX,TW,Chief LY Building Taipei,TW
216299,STUIX,TW,Chief HD Building Taipei,TW
216299,LOCIX FRANKFURT,DE,NTT Frankfurt 1 Data Center (FRA1),DE
216299,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA29-32,DE
216299,LOCIX FRANKFURT,DE,iNTERWERK Rechenzentrum,DE
216299,LOCIX FRANKFURT,DE,maincubes AMS01,NL
216299,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA1-27,DE
216299,LOCIX FRANKFURT,DE,firstcolo - FRA4,DE
216299,LOCIX FRANKFURT,DE,WIIT Datacenter DUS5,DE
216299,LOCIX FRANKFURT,DE,"Equinix FR5 - Frankfurt, KleyerStrasse",DE
216299,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA28,DE
216299,LOCIX FRANKFURT,DE,MK Netzdienste Datacenter,DE
216299,LOCIX FRANKFURT,DE,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
216299,LOCIX FRANKFURT,DE,Iron Mountain Data Center - Amsterdam (AMS-1),NL
216299,LOCIX FRANKFURT,DE,firstcolo - FRA1,DE
216056,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
216056,HN Internet Exchange (Main),US,1530 SWIFT - NOCIX,US
216056,DataSphere Internet Exchange (Hong Kong),HK,iTech Towers 2,HK
216056,Protocol 7 IX - Hong Kong,HK,,
216056,ZXIX Hong Kong,HK,,
216056,FREMIX,US,Hurricane Electric Fremont 2,US
216056,BGP.Exchange - Amsterdam,NL,KoloDC NL1,NL
216056,BGP.Exchange - Amsterdam,NL,Qupra DC,NL
216056,BGP.Exchange - Amsterdam,NL,NIKHEF Amsterdam,NL
216056,BGP.Exchange - Fremont,US,,
216056,BGP.Exchange - Tokyo,JP,,
216056,BGP.Exchange - Singapore,SG,,
215007,FogIXP,CH,firstcolo - FRA4,DE
215007,FogIXP,CH,Digital Realty Zurich ZUR1,CH
215007,FogIXP,CH,colozueri.ch Zurich,CH
215007,FogIXP,CH,Digital Realty Frankfurt FRA1-27,DE
215007,FogIXP,CH,NTT Frankfurt 1 Data Center (FRA1),DE
215007,FogIXP,CH,NIKHEF Amsterdam,NL
215007,FogIXP,CH,Digital Realty Amsterdam AMS17,NL
215007,FogIXP,CH,NTT Zurich 1 Data Center (ZRH1),CH
215007,FogIXP,CH,Cogent Amsterdam,NL
215007,BGP.Exchange - Melbourne,AU,,
215007,4b42 Internet Exchange Point,CH,greenDatacenter Lupfig,CH
215007,BGP.Exchange - Zurich,CH,,
215007,BGP.Exchange - London,GB,,
215007,BGP.Exchange - Auckland,NZ,,
215007,BGP.Exchange - Amsterdam,NL,KoloDC NL1,NL
215007,BGP.Exchange - Amsterdam,NL,Qupra DC,NL
215007,BGP.Exchange - Amsterdam,NL,NIKHEF Amsterdam,NL
215007,BGP.Exchange - Barcelona,ES,Templus Barcelona Datacenter,ES
215007,BGP.Exchange - Dusseldorf,DE,,
215007,BGP.Exchange - Singapore,SG,,
215007,BGP.Exchange - Adelaide,AU,Kern DC - Adelaide,AU
215007,BGP.Exchange - Frankfurt,DE,,
139888,Poema IX,TW,,
139888,ZXIX Hangzhou,CN,,
139888,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
139888,ZXIX Hong Kong,HK,,
199932,LOCIX FRANKFURT,DE,NTT Frankfurt 1 Data Center (FRA1),DE
199932,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA29-32,DE
199932,LOCIX FRANKFURT,DE,iNTERWERK Rechenzentrum,DE
199932,LOCIX FRANKFURT,DE,maincubes AMS01,NL
199932,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA1-27,DE
199932,LOCIX FRANKFURT,DE,firstcolo - FRA4,DE
199932,LOCIX FRANKFURT,DE,WIIT Datacenter DUS5,DE
199932,LOCIX FRANKFURT,DE,"Equinix FR5 - Frankfurt, KleyerStrasse",DE
199932,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA28,DE
199932,LOCIX FRANKFURT,DE,MK Netzdienste Datacenter,DE
199932,LOCIX FRANKFURT,DE,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
199932,LOCIX FRANKFURT,DE,Iron Mountain Data Center - Amsterdam (AMS-1),NL
199932,LOCIX FRANKFURT,DE,firstcolo - FRA1,DE
199932,DataSphere Internet Exchange (Hong Kong),HK,iTech Towers 2,HK
151230,"CNIX (Qianhai, Shenzhen)",CN,Shenzhen Baiwangxinyun Datacenter,CN
151230,"CNIX (Qianhai, Shenzhen)",CN,GDS Shenzhen San,CN
58336,FREMIX,US,Hurricane Electric Fremont 2,US
58336,SBIX Zurich,CH,greenDatacenter Lupfig,CH
58336,UNM-Exch Canada-West,CA,Tech Futures YVR1,CA
58336,UNM-Exch Canada-West,CA,Harbour Centre Vancouver,CA
58336,4b42 Internet Exchange Point,CH,greenDatacenter Lupfig,CH
208679,FogIXP,CH,firstcolo - FRA4,DE
208679,FogIXP,CH,Digital Realty Zurich ZUR1,CH
208679,FogIXP,CH,colozueri.ch Zurich,CH
208679,FogIXP,CH,Digital Realty Frankfurt FRA1-27,DE
208679,FogIXP,CH,NTT Frankfurt 1 Data Center (FRA1),DE
208679,FogIXP,CH,NIKHEF Amsterdam,NL
208679,FogIXP,CH,Digital Realty Amsterdam AMS17,NL
208679,FogIXP,CH,NTT Zurich 1 Data Center (ZRH1),CH
208679,FogIXP,CH,Cogent Amsterdam,NL
142111,Any2West,US,CoreSite - Santa Clara (SV4),US
142111,Any2West,US,CoreSite - Santa Clara (SV7),US
142111,Any2West,US,CoreSite - Los Angeles (LA2),US
142111,Any2West,US,Coresite - Milpitas (SV2),US
142111,Any2West,US,CoreSite - Santa Clara (SV9),US
142111,Any2West,US,CoreSite - Santa Clara (SV8),US
142111,Any2West,US,CoreSite - Los Angeles (LA3),US
142111,Any2West,US,CoreSite - Santa Clara (SV3),US
142111,Any2West,US,CoreSite - San Jose (SV1),US
142111,Any2West,US,CoreSite - Los Angeles (LA1) One Wilshire,US
135426,HKIX,HK,MEGA Two (iAdvantage Hong Kong),HK
135426,HKIX,HK,Telehouse - Hong Kong CCC (HKCOLO TKO),HK
135426,HKIX,HK,Equinix HK2 - Hong Kong,HK
135426,HKIX,HK,NTT Com Asia Hong Kong Financial Data Center,HK
135426,HKIX,HK,CUHK,HK
135426,HKIX,HK,MEGA-i (iAdvantage Hong Kong),HK
139249,KleyReX,DE,ITENOS Frankfurt (FRA1),DE
139249,KleyReX,DE,aixit Frankfurt,DE
139249,KleyReX,DE,INTERNIC Frankfurt,DE
139249,KleyReX,DE,Telehouse - Frankfurt,DE
139249,KleyReX,DE,NewTelco Frankfurt,DE
139249,KleyReX,DE,MK Netzdienste Datacenter,DE
139249,KleyReX,DE,"Equinix FR5 - Frankfurt, KleyerStrasse",DE
139249,KleyReX,DE,Digital Realty Frankfurt FRA1-27,DE
139249,KleyReX,DE,firstcolo - FRA4,DE
139249,KleyReX,DE,"Equinix FR7 - Frankfurt, Gutleutstrasse",DE
139249,KleyReX,DE,iNTERWERK Rechenzentrum,DE
139249,KleyReX,DE,NTT Frankfurt 1 Data Center (FRA1),DE
139249,BGP.Exchange - Fremont,US,,
139799,IX.br (PTT.br) São Paulo,BR,Scala Data Centers SGRUTB01,BR
139799,IX.br (PTT.br) São Paulo,BR,Sba Edge Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,BR.Digital São Paulo (SPO1),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-CENESP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX-Ultranet,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telefonica-JD,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-PIAF,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Itaim,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP2 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Data Center ASAP SP1,BR
139799,IX.br (PTT.br) São Paulo,BR,Elea SPO1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Eletronet Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP3 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-VRAO,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Locaweb,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX USP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Florida,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Embratel SP,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty SPO02 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP4 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Cirion Sao Paulo - SAO1,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Vero,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telium,BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-JD (João Dias),BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-NU (Nações Unidas),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Tim,BR
139799,IX.br (PTT.br) São Paulo,BR,ODATA DC SP01,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty VIN01 - Vinhedo,BR
139799,IX.br (PTT.br) São Paulo,BR,TIVIT Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Scala Data Centers SGRUTB01,BR
139799,IX.br (PTT.br) São Paulo,BR,Sba Edge Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,BR.Digital São Paulo (SPO1),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-CENESP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX-Ultranet,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telefonica-JD,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-PIAF,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Itaim,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP2 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Data Center ASAP SP1,BR
139799,IX.br (PTT.br) São Paulo,BR,Elea SPO1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Eletronet Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP3 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-VRAO,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Locaweb,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX USP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Florida,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Embratel SP,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty SPO02 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP4 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Cirion Sao Paulo - SAO1,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Vero,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telium,BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-JD (João Dias),BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-NU (Nações Unidas),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Tim,BR
139799,IX.br (PTT.br) São Paulo,BR,ODATA DC SP01,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty VIN01 - Vinhedo,BR
139799,IX.br (PTT.br) São Paulo,BR,TIVIT Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Scala Data Centers SGRUTB01,BR
139799,IX.br (PTT.br) São Paulo,BR,Sba Edge Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,BR.Digital São Paulo (SPO1),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-CENESP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX-Ultranet,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telefonica-JD,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-PIAF,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Itaim,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP2 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Data Center ASAP SP1,BR
139799,IX.br (PTT.br) São Paulo,BR,Elea SPO1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Eletronet Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP3 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-VRAO,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Locaweb,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX USP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Florida,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Embratel SP,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty SPO02 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP4 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Cirion Sao Paulo - SAO1,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Vero,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telium,BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-JD (João Dias),BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-NU (Nações Unidas),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Tim,BR
139799,IX.br (PTT.br) São Paulo,BR,ODATA DC SP01,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty VIN01 - Vinhedo,BR
139799,IX.br (PTT.br) São Paulo,BR,TIVIT Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Scala Data Centers SGRUTB01,BR
139799,IX.br (PTT.br) São Paulo,BR,Sba Edge Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,BR.Digital São Paulo (SPO1),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-CENESP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX-Ultranet,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telefonica-JD,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-PIAF,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Itaim,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP2 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Data Center ASAP SP1,BR
139799,IX.br (PTT.br) São Paulo,BR,Elea SPO1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Eletronet Sao Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP1 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP3 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX ALGAR-VRAO,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Locaweb,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX USP,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Samm Florida,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Embratel SP,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty SPO02 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Equinix SP4 - São Paulo,BR
139799,IX.br (PTT.br) São Paulo,BR,Cirion Sao Paulo - SAO1,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Vero,BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Telium,BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-JD (João Dias),BR
139799,IX.br (PTT.br) São Paulo,BR,NIC-NU (Nações Unidas),BR
139799,IX.br (PTT.br) São Paulo,BR,PIX Tim,BR
139799,IX.br (PTT.br) São Paulo,BR,ODATA DC SP01,BR
139799,IX.br (PTT.br) São Paulo,BR,Ascenty VIN01 - Vinhedo,BR
139799,IX.br (PTT.br) São Paulo,BR,TIVIT Sao Paulo,BR
199392,LOCIX FRANKFURT,DE,NTT Frankfurt 1 Data Center (FRA1),DE
199392,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA29-32,DE
199392,LOCIX FRANKFURT,DE,iNTERWERK Rechenzentrum,DE
199392,LOCIX FRANKFURT,DE,maincubes AMS01,NL
199392,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA1-27,DE
199392,LOCIX FRANKFURT,DE,firstcolo - FRA4,DE
199392,LOCIX FRANKFURT,DE,WIIT Datacenter DUS5,DE
199392,LOCIX FRANKFURT,DE,"Equinix FR5 - Frankfurt, KleyerStrasse",DE
199392,LOCIX FRANKFURT,DE,Digital Realty Frankfurt FRA28,DE
199392,LOCIX FRANKFURT,DE,MK Netzdienste Datacenter,DE
199392,LOCIX FRANKFURT,DE,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
199392,LOCIX FRANKFURT,DE,Iron Mountain Data Center - Amsterdam (AMS-1),NL
199392,LOCIX FRANKFURT,DE,firstcolo - FRA1,DE
199392,FogIXP,CH,firstcolo - FRA4,DE
199392,FogIXP,CH,Digital Realty Zurich ZUR1,CH
199392,FogIXP,CH,colozueri.ch Zurich,CH
199392,FogIXP,CH,Digital Realty Frankfurt FRA1-27,DE
199392,FogIXP,CH,NTT Frankfurt 1 Data Center (FRA1),DE
199392,FogIXP,CH,NIKHEF Amsterdam,NL
199392,FogIXP,CH,Digital Realty Amsterdam AMS17,NL
199392,FogIXP,CH,NTT Zurich 1 Data Center (ZRH1),CH
199392,FogIXP,CH,Cogent Amsterdam,NL
151194,FogIXP,CH,firstcolo - FRA4,DE
151194,FogIXP,CH,Digital Realty Zurich ZUR1,CH
151194,FogIXP,CH,colozueri.ch Zurich,CH
151194,FogIXP,CH,Digital Realty Frankfurt FRA1-27,DE
151194,FogIXP,CH,NTT Frankfurt 1 Data Center (FRA1),DE
151194,FogIXP,CH,NIKHEF Amsterdam,NL
151194,FogIXP,CH,Digital Realty Amsterdam AMS17,NL
151194,FogIXP,CH,NTT Zurich 1 Data Center (ZRH1),CH
151194,FogIXP,CH,Cogent Amsterdam,NL
151194,AKIX,CH,Equinix HK2 - Hong Kong,HK
151194,AKIX,CH,STE Network -  SHDC,CN
151194,AKIX,CH,Digital Realty Frankfurt FRA1-27,DE
151194,AKIX,CH,LuxConnect DC2 - Bissen,LU
151194,AKIX,CH,Equinix TY6 - Tokyo,JP
151194,Kawaii IX AMS,NL,Qupra DC,NL
151194,ONIX,CA,Equinix TR1 - Toronto,CA
151194,ONIX,CA,Telehouse Toronto (151 Front St West),CA
151194,ONIX,CA,Equinix TR2 - Toronto,CA
151194,LOCIX DUSSELDORF,DE,WIIT Datacenter DUS5,DE
151194,LOCIX DUSSELDORF,DE,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
151194,BGP.Exchange - Amsterdam,NL,KoloDC NL1,NL
151194,BGP.Exchange - Amsterdam,NL,Qupra DC,NL
151194,BGP.Exchange - Amsterdam,NL,NIKHEF Amsterdam,NL
151194,BGP.Exchange - Zurich,CH,,
151194,TPIX-TW,TW,Chief HD Building Taipei,TW
151194,TPIX-TW,TW,Chief LY Building Taipei,TW
151194,TPIX-TW,TW,Chief LY2 Building Taipei,TW
151194,BGP.Exchange - Frankfurt,DE,,
151194,BGP.Exchange - Barcelona,ES,Templus Barcelona Datacenter,ES
151194,BGP.Exchange - Dusseldorf,DE,,
204856,BGP.Exchange - Paris,FR,,
204856,BGP.Exchange - New York,US,Centersquare New Jersey (EWR5),US
204856,BGP.Exchange - New York,US,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
204856,BGP.Exchange - Berlin,DE,,
204856,FogIXP,CH,firstcolo - FRA4,DE
204856,FogIXP,CH,Digital Realty Zurich ZUR1,CH
204856,FogIXP,CH,colozueri.ch Zurich,CH
204856,FogIXP,CH,Digital Realty Frankfurt FRA1-27,DE
204856,FogIXP,CH,NTT Frankfurt 1 Data Center (FRA1),DE
204856,FogIXP,CH,NIKHEF Amsterdam,NL
204856,FogIXP,CH,Digital Realty Amsterdam AMS17,NL
204856,FogIXP,CH,NTT Zurich 1 Data Center (ZRH1),CH
204856,FogIXP,CH,Cogent Amsterdam,NL
204856,BGP.Exchange - London,GB,,
204856,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
204856,BGP.Exchange - Tokyo,JP,,
204856,BGP.Exchange - Los Angeles,US,,
204856,BGP.Exchange - Zurich,CH,,
204856,BGP.Exchange - Singapore,SG,,
203899,MoeIX SEA,US,,
203899,Miaowoo Ashburn,US,,
212985,BGP.Exchange - Frankfurt,DE,,
212985,BGP.Exchange - Berlin,DE,,
212985,Protocol 7 IX - Hong Kong,HK,,
212985,ZXIX Hong Kong,HK,,
212985,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
212985,BGP.Exchange - London,GB,,
137753,Equinix Hong Kong,HK,Equinix HK1 - Hong Kong,HK
137753,Equinix Hong Kong,HK,Equinix HK5 - Hong Kong,HK
137753,Equinix Hong Kong,HK,Equinix HK6 - Hong Kong,HK
137753,Equinix Hong Kong,HK,Equinix HK3 - Hong Kong,HK
137753,Equinix Hong Kong,HK,Equinix HK2 - Hong Kong,HK
